2024-06-12 14:46:07,446 INFO    StreamThr :3582157 [internal.py:wandb_internal():85] W&B internal server running at pid: 3582157, started at: 2024-06-12 14:46:07.445594
2024-06-12 14:46:07,446 DEBUG   HandlerThread:3582157 [handler.py:handle_request():158] handle_request: status
2024-06-12 14:46:07,447 INFO    WriterThread:3582157 [datastore.py:open_for_write():87] open: /mnt/c/gaochao/CODE/BCI/ndt47/wandb/run-20240612_144607-8ssfxjw3/run-8ssfxjw3.wandb
2024-06-12 14:46:07,448 DEBUG   SenderThread:3582157 [sender.py:send():378] send: header
2024-06-12 14:46:07,475 DEBUG   SenderThread:3582157 [sender.py:send():378] send: run
2024-06-12 14:46:08,155 INFO    SenderThread:3582157 [dir_watcher.py:__init__():211] watching files in: /mnt/c/gaochao/CODE/BCI/ndt47/wandb/run-20240612_144607-8ssfxjw3/files
2024-06-12 14:46:08,155 INFO    SenderThread:3582157 [sender.py:_start_run_threads():1123] run started: 8ssfxjw3 with start time 1718174767.445622
2024-06-12 14:46:08,160 DEBUG   HandlerThread:3582157 [handler.py:handle_request():158] handle_request: check_version
2024-06-12 14:46:08,160 DEBUG   SenderThread:3582157 [sender.py:send_request():405] send_request: check_version
2024-06-12 14:46:08,574 DEBUG   HandlerThread:3582157 [handler.py:handle_request():158] handle_request: run_start
2024-06-12 14:46:08,579 DEBUG   HandlerThread:3582157 [system_info.py:__init__():26] System info init
2024-06-12 14:46:08,579 DEBUG   HandlerThread:3582157 [system_info.py:__init__():41] System info init done
2024-06-12 14:46:08,579 INFO    HandlerThread:3582157 [system_monitor.py:start():194] Starting system monitor
2024-06-12 14:46:08,579 INFO    SystemMonitor:3582157 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-12 14:46:08,579 INFO    HandlerThread:3582157 [system_monitor.py:probe():214] Collecting system info
2024-06-12 14:46:08,579 INFO    SystemMonitor:3582157 [interfaces.py:start():188] Started cpu monitoring
2024-06-12 14:46:08,580 INFO    SystemMonitor:3582157 [interfaces.py:start():188] Started disk monitoring
2024-06-12 14:46:08,580 INFO    SystemMonitor:3582157 [interfaces.py:start():188] Started gpu monitoring
2024-06-12 14:46:08,581 INFO    SystemMonitor:3582157 [interfaces.py:start():188] Started memory monitoring
2024-06-12 14:46:08,581 INFO    SystemMonitor:3582157 [interfaces.py:start():188] Started network monitoring
2024-06-12 14:46:08,595 DEBUG   HandlerThread:3582157 [system_info.py:probe():150] Probing system
2024-06-12 14:46:08,598 DEBUG   HandlerThread:3582157 [system_info.py:_probe_git():135] Probing git
2024-06-12 14:46:08,604 DEBUG   HandlerThread:3582157 [system_info.py:_probe_git():143] Probing git done
2024-06-12 14:46:08,604 DEBUG   HandlerThread:3582157 [system_info.py:probe():198] Probing system done
